address;name;typename;area;type;y;x;value
бул.Шевченка 145;"ТРК ""Плазма""";підземні поверхи;;1;49.4489986;32.0525855;0
бул.Шевченка 208/1;"ТОВ ""Любава-Сіті""";підземні поверхи;;1;49.445111;32.05635;0
бул.Шевченка 88;житловий будинок (3 поверхи);підвал (площа 78 кв.м);78;0;49.453871;32.041515;39
вул.Байди Вишневецького 62;житловий будинок (3 поверхи);підвал (площа 102 кв.м);102;0;49.440882;32.05331;51
вул.Благовісна 213;"ПАТ ""Торговий центр СОФОТ""";підземні поверхи;;1;49.4412;32.0569;0
вул.В'ячеслава Чорновола 247;житловий будинок (2 поверхи);підвал (площа 260,4 кв.м);260.4;0;49.403384;32.050581;130
вул.В'ячеслава Чорновола 52;житловий будинок (3 поверхи);підвал (площа 345,5 кв.м);345.5;0;49.4254905;32.0784152;173
вул.Володимира Ложешнікова 66;житловий будинок (2 поверхи);підвал (площа 114 кв.м);114;0;49.4248934;32.0453573;57
вул.Володимира Ложешнікова 68;житловий будинок (2 поверхи);підвал (площа 114 кв.м);114;0;49.4251128;32.0449318;57
вул.Гоголя 255;"ПП ""Альбіон"" (магазин секонд-Хенд)";підземні поверхи;;1;49.4421;32.0591;0
вул.Гоголя 580;житловий будинок (3 поверхи);підвал (площа 292,8 кв.м);292.8;0;49.41753;32.101394;146
вул.Гоголя 582;"Ринок ПрАТ ""Бакалія""";підземні поверхи;;1;49.417075;32.101804;0
вул.Добровольського 3;житловий будинок (2 поверхи);підвал (площа 184,3 кв.м);184.3;0;49.4207761;32.1049428;92
вул.Кобзарська 103;житловий будинок (1 поверх);підвал (площа 105,3 кв.м);105.3;0;49.420359;32.098484;53
вул.Кривалівська 69;житловий будинок (2 поверхи);підвал (площа 225,9 кв.м);225.9;0;49.4264203;32.0760495;113
вул.Кривалівська 71;житловий будинок (2 поверхи);підвал (площа 320,8 кв.м);320.8;0;49.4260328;32.0756529;160
вул.Михайла Грушевського 198;житловий будинок (2 поверхи);підвал (площа 104 кв.м);104;0;49.4415636;32.0428532;52
вул.Надпільна 245;житловий будинок (2 поверхи);підвал (площа 152 кв.м);152;0;49.443534;32.049022;76
вул.Надпільна 328;житловий будинок (3 поверхи);підвал (площа 187,7 кв.м);187.7;0;49.42665;32.076424;94
вул.Надпільна 330;житловий будинок (3 поверхи);підвал (площа 284,7 кв.м);284.7;0;49.42637;32.076962;142
вул.Надпільна 334;житловий будинок (3 поверхи);підвал (площа 213,2 кв.м);213.2;0;49.425772;32.078017;107
вул.Надпільна 343;житловий будинок (2 поверхи);підвал (площа 54 кв.м);54;0;49.4320357;32.0684573;27
вул.Надпільна 345;житловий будинок (3 поверхи);підвал (площа 112,2 кв.м);112.2;0;49.4319756;32.0690376;56
вул.Надпільна 353;житловий будинок (3 поверхи);підвал (площа 154,1 кв.м);154.1;0;49.4315631;32.0684749;77
вул.Нарбутівська 101;житловий будинок (2 поверхи);підвал (площа 338 кв.м);388;0;49.42455;32.077153;194
вул.Нарбутівська 91;житловий будинок (2 поверхи);підвал (площа 326,9 кв.м);326.9;0;49.425391;32.0755158;163
вул.Небесної Сотні 38;житловий будинок (5 поверхів);підвал (площа 355 кв.м);355;0;49.4361803;32.0621449;178
вул.Нечуя-Левицького 10/1;житловий будинок (2 поверхи);підвал (площа 395,6 кв.м);395.6;0;49.4095625;32.059505;198
вул.Нечуя-Левицького 20;житловий будинок (2 поверхи);підвал (площа 208,4 кв.м);208.4;0;49.40571;32.055018;104
вул.Нечуя-Левицького 6;житловий будинок (2 поверхи);підвал (площа 200,2 кв.м);200.2;0;49.409423;32.060484;100
вул.Нечуя-Левицького 8;житловий будинок (2 поверхи);підвал (площа 383,2 кв.м);383.2;0;49.409186;32.06017;192
вул.Оборонна 2;житловий будинок (3 поверхи);підвал (площа 98,7 кв.м);98.7;0;49.430569;32.048103;49
вул.Остафія Дашковича 19;"ТРЦ ""Хрещатик-Сіті"" (ОКТЦ ""Хрещатик"")";підземні поверхи;;1;49.444567;32.064353;0
вул.Остафія Дашковича 48;житловий будинок (2 поверхи);підвал (площа 25 кв.м);25;0;49.4402218;32.0580031;13
вул.Припортова 34;"ТОВ ""Пролог-93"" (ТРМ ""Дніпро-Плаза"")";підземні поверхи;;1;49.4345598;32.0911262;0
вул.Пушкіна 152;житловий будинок (2 поверхи);підвал (площа 86 кв.м);86;0;49.444487;32.042479;43
вул.Свято-Макаріївська 149;житловий будинок (3 поверхи);підвал (площа 152,9 кв.м);152.9;0;49.4329668;32.0592681;76
вул.Святотроїцька 71;житловий будинок (2 поверхи);підвал (площа 34 кв.м);34;0;49.442404;32.051443;17
вул.Смілянська 102;житловий будинок (3 поверхи);підвал (площа 179,34 кв.м);179.34;0;49.426977;32.045033;90
вул.Смілянська 109;житловий будинок (2 поверхи);підвал (площа 175,9 кв.м);175.9;0;49.425991;32.045015;88
вул.Смілянська 111;житловий будинок (2 поверхи);підвал (площа 214,3 кв.м);214.3;0;49.425769;32.044768;107
вул.Смілянська 113;житловий будинок (2 поверхи);підвал (площа 214,3 кв.м);214.3;0;49.4255131;32.0444361;107
вул.Смілянська 138;житловий будинок (2 поверхи);підвал (площа 297,7 кв.м);297.7;0;49.411358;32.019633;149
вул.Смілянська 15;житловий будинок (3 поверхи);підвал (площа 174 кв.м);174;0;49.442983;32.067053;87
вул.Смілянська 88;житловий будинок (3 поверхи);підвал (площа 198 кв.м);198;0;49.430171;32.048828;99
вул.Смілянська 90/1;гуртожиток (2 поверхи);підвал (площа 118,1 кв.м);118.1;0;49.430125;32.047914;59
вул.Смілянська 92/1;житловий будинок (3 поверхи);підвал (площа 429,1 кв.м);429.1;0;49.429856;32.047053;215
вул.Смілянська 94;житловий будинок (3 поверхи);підвал (площа 228,63 кв.м, бункер - 30 кв.м);228.63;0;49.428734;32.047299;114
вул.Смілянська 94/1;житловий будинок (2 поверхи);підвал (площа 140,6 кв.м);140.6;0;49.428668;32.046553;70
вул.Смілянська 94/4;житловий будинок (2 поверхи);підвал (площа 276,8 кв.м);276.8;0;49.42896;32.045982;138
вул.Смілянська 96;житловий будинок (3 поверхи);підвал (площа 733,4 кв.м);733;0;49.4283616;32.0475349;367
вул.Сумгаїтська 12;Палац молоді;підземні поверхи;;1;49.4351;32.015;0
вул.Хрещатик 208;житловий будинок (3 поверхи);підвал (площа 195 кв.м);195;0;49.442586;32.066989;98
вул.Чигиринська 6;житловий будинок (2 поверхи);підвал (площа 103,8 кв.м);103.8;0;49.415879;32.099289;52
пл.Слави 11;житловий будинок (3 поверхи);підвал (площа 62 кв.м);62;0;49.447958;32.059662;31
пров.Архітектурний 17;житловий будинок (2 поверхи);підвал (площа 155,5 кв.м);155.5;0;49.432761;32.062108;78
пров.Вишневий 33;житловий будинок (2 поверхи);підвал (площа 117 кв.м);117;0;49.4123696;32.0942866;59
просп.Хіміків 11А;житловий будинок (2 поверхи);підвал (площа 171,5 кв.м);171.5;0;49.411183;32.039103;86
просп.Хіміків 40;житловий будинок (2 поверхи);підвал (площа 125 кв.м);125;0;49.407675;32.044728;63
просп.Хіміків 9;житловий будинок (2 поверхи);підвал (площа 165 кв.м);165;0;49.411453;32.038656;83
